iter,rt_raw0.0.mean,rt_raw0.0.median,rt_raw2.0.mean,rt_raw2.0.median,rt_raw2.5.mean,rt_raw2.5.median,rt_raw3.0.mean,rt_raw3.0.median,rt_log0.0.mean,rt_log0.0.median,rt_log2.0.mean,rt_log2.0.median,rt_log2.5.mean,rt_log2.5.median,rt_log3.0.mean,rt_log3.0.median,rt_inv0.0.mean,rt_inv0.0.median,rt_inv2.0.mean,rt_inv2.0.median,rt_inv2.5.mean,rt_inv2.5.median,rt_inv3.0.mean,rt_inv3.0.median,dataset
1,0.14008280687431168,0.8918627855944726,0.893379520677176,0.6792431499371108,0.2246931250851559,0.9713647449142986,0.3118654298617807,0.9899640181624731,0.4270286529582914,0.9066955198417388,0.8226256999725549,0.5409197039560228,0.5232591668638448,0.8436844648328351,0.6125227023418222,0.8163569928523343,0.973392621068885,0.7046862755015029,0.530244476408429,0.4193699552860213,0.9909355542694396,0.6576021612658284,0.9207048451711435,0.6275311053183221,stroop
2,0.7401537589476128,0.3654479970171295,0.3607146690367681,0.29423303173716536,0.7508711489895006,0.3648318362619122,0.5665624798895689,0.34524399846457143,0.7212143138460749,0.2588240562018641,0.20670293269849677,0.20460076845874436,0.3603536557464684,0.2554311901022778,0.3109069609349011,0.24283938584011394,0.3644276277516286,0.18895399155133524,0.13103944271558302,0.1465264500339868,0.19406303588309515,0.182559859863135,0.1847939666947032,0.17456932413390108,stroop
3,0.10085980597092001,0.8027475033274637,0.6806944244935682,0.9607354723171919,0.7623920575959362,0.9204506032655593,0.39803902745579234,0.9942189015468066,0.12267174442326126,0.9265964571885286,0.6876177871352642,0.8417112299891348,0.7494412292630902,0.7916737209541638,0.5228103403484504,0.8403989325719433,0.1735324075424195,0.8718589928258984,0.6703017568939571,0.673305326630858,0.7354002494124177,0.6094599368110252,0.6135766095061866,0.6369515896003293,stroop
4,0.2491418356159396,0.7218564046244464,0.6374525370389714,0.9735241433208193,0.5122835705216913,0.9810270980109423,0.6802792592216387,0.8965225814437043,0.5801816970691445,0.8007107789476212,0.9849959003551475,0.9615496744010621,0.8545504688602713,0.9522737694901333,0.9774393788483293,0.9611927130633072,0.9152868404982719,0.8882420024502151,0.626865899319812,0.893173274249586,0.7611315027045026,0.883265272795299,0.6742867646219298,0.9692486101620094,stroop
5,0.4081245718783665,0.7061790311524303,0.9506486709543178,0.332178342650969,0.5464568374942693,0.4441664788172245,0.6670992660816535,0.49638001792708797,0.40757867991644914,0.7139201634279388,0.9602636704273568,0.31863723586133824,0.4880027326720656,0.43669532454410365,0.5750425578844487,0.4932619717593616,0.422248698348651,0.7241125837539424,0.9591157533512948,0.3111610107481861,0.4613446589962922,0.4344479607809123,0.5260316895903568,0.4918641995026246,stroop
6,0.557275378223573,0.41861545665235667,0.7938384897559216,0.4938608392821964,0.917107491602562,0.3064695857473331,0.7790365671444137,0.26390050654991515,0.8337264322914196,0.431253799261368,0.757103744359045,0.5713568577573764,0.7744642548823644,0.3425811294208687,0.9342136757656735,0.2974556209540978,0.930253816800924,0.4692833959632121,0.7504497660355601,0.6781116058252261,0.695245702233261,0.4022389843461044,0.7643459705103615,0.3547658016851629,stroop
7,0.9320390858926931,0.6981900381972403,0.8936916015612566,0.5319965184325672,0.638007257994558,0.4974700396227715,0.6437813354405155,0.5626470197458404,0.9850633398666362,0.6705730197607829,0.9642295436890468,0.48078145065325484,0.7113739314312366,0.43996572699774017,0.731468470140684,0.4979304527916585,0.8737490726063204,0.7017383521352794,0.8638625231469728,0.498425420735351,0.8866300578032309,0.44623854151190967,0.9219878087550732,0.5021322640226035,stroop
8,0.1007948558893855,0.2954479935179333,0.7951982257557716,0.6130273944005569,0.9537091714705186,0.732828027081027,0.1857113412360726,0.5247318323083044,0.14280850804291415,0.26775826838397526,0.6481809557578587,0.5697012604209036,0.830674801501006,0.6726895186813128,0.24644590804387023,0.489312579372704,0.18556016916995974,0.2630725158020169,0.5059081669350793,0.5493529597041136,0.6362184627919509,0.6482516294313099,0.2741676710569149,0.48164074633216936,stroop
9,0.7512499553344191,0.5586229818176123,0.5988065497529658,0.5384563399223111,0.346040995304312,0.5980363214517127,0.5542268594541984,0.5694063021377312,0.7996574926172857,0.6974019757014406,0.6656894246872227,0.6322215760004474,0.5108582361505793,0.7293964761399536,0.6641236487884217,0.7029852877358591,0.8627352398632308,0.8819327226481575,0.687329770172445,0.7625175451946462,0.6411442626601691,0.9004346074836411,0.7262348953366685,0.8767133915155765,stroop
10,0.9326221928376294,0.234875628428235,0.5771700919133443,0.2744109173518525,0.6449645424106031,0.19335340547136556,0.9068492669444908,0.18142178912525903,0.9970072850353304,0.22282773879694895,0.7134346311739477,0.20517417076855493,0.7699349751730764,0.17196220467124165,0.9153019007749567,0.16361570542283382,0.9953297317197645,0.19097105867916742,0.7419931327590356,0.14864480724217477,0.7946583271257395,0.14136676499460882,0.8789358109343646,0.13600864707657348,stroop
11,0.7315145095981304,0.982462324791733,0.3744891775406265,0.7053236529269507,0.521610091047158,0.8056468388382804,0.5290562487338906,0.8098681443724779,0.6757640228080868,0.977746648178888,0.40603813498328534,0.6964293333583493,0.4736932689491955,0.83105520494569,0.5174802429518413,0.8196510065295016,0.6964605683521934,0.9438851974915052,0.4875864973610312,0.6667058546270965,0.525763960101378,0.8234562648462442,0.581141695649178,0.8001793993818739,stroop
12,0.946379815153251,0.990435652819201,0.5782704670977042,0.7386752223874054,0.8782555534489724,0.9888989210391785,0.9427423705813682,0.9642348873359087,0.8311713276762837,0.9734830934775287,0.4906191168015246,0.7558207779697603,0.7652210751839962,0.9809676791320677,0.8044747274312826,0.9987493324474996,0.6756641052459507,0.9525294142737504,0.43135570031508985,0.7634929689473617,0.6653712087742161,0.9649662015326509,0.6915937868702278,0.9792131986800117,stroop
13,0.1562602931190384,0.7612433992619968,0.28887452972712935,0.9311022052323048,0.4841506316149752,0.8562828901564391,0.6062055862145523,0.9046633804683321,0.17118859341321468,0.6818101832936203,0.3404692661274832,0.8817447120185632,0.5014568597547608,0.8172742682392381,0.5348705999055592,0.8432512239590083,0.220683561038935,0.5913325846598936,0.3743321726462445,0.8045377656402533,0.5192073654546369,0.7492999056163151,0.5160765068312458,0.757810248913569,stroop
14,0.46623501545053214,0.5496327315754533,0.4892829624852877,0.620917790394905,0.35217631680697126,0.6311742215739611,0.4979701873141169,0.6739470863755626,0.6457798930797238,0.655381242216138,0.687023338803526,0.7388315694866421,0.5821925821528173,0.7715715422429239,0.6800620815356029,0.7864510117770079,0.91478816048104306,0.76931848471812,0.9440765444326176,0.8573305512973417,0.8993124867009842,0.9128667624380709,0.9552599739313055,0.9004688988218876,stroop
15,0.9840827085652828,0.7856917823075077,0.42476282275624844,0.8374766443955192,0.4722507998785761,0.9250446274906234,0.934678274999891,0.8267327063904046,0.909784693286401,0.6439470308769175,0.5378042514273378,0.9831200891651068,0.6132831578687746,0.9115887642594622,0.8465246378071771,0.7258089912845536,0.8818804433614305,0.4993147764855487,0.643326431450157,0.8468446945982518,0.739085044388787,0.7281479311473352,0.8427109752303669,0.607759792121515,stroop
16,0.556203473006581,0.25999563696340233,0.47221118875874,0.26293989684121716,0.7409826163202724,0.421284415839804,0.5611424211486712,0.3493346602013896,0.736826906854845,0.28884383528168633,0.6186962880308351,0.2530940329521715,0.9234582344030027,0.4767239845690304,0.8625963219614124,0.3975931071501624,0.9883414261966617,0.3103850174163123,0.7972186430171109,0.23044085964700173,0.661337276596353,0.5046376220047676,0.8508760813841815,0.42552218119447716,stroop
